SRA,Region,Zipcode,ZCTA,Total (55 to 64),Under .50 (55 to 64),.50 to .74 (55 to 64),.75 to .99 (55 to 64),1.00 to 1.24 (55 to 64),1.25 to 1.49 (55 to 64),1.50 to 1.74 (55 to 64),1.75 to 1.84 (55 to 64),1.85 to 1.99 (55 to 64),2.00 to 2.99 (55 to 64),3.00 to 3.99 (55 to 64),4.00 to 4.99 (55 to 64),5.00 and over (55 to 64),Total (65 to 74),Under .50 (65 to 74),.50 to .74 (65 to 74),.75 to .99 (65 to 74),1.00 to 1.24 (65 to 74),1.25 to 1.49 (65 to 74),1.50 to 1.74 (65 to 74),1.75 to 1.84 (65 to 74),1.85 to 1.99 (65 to 74),2.00 to 2.99 (65 to 74),3.00 to 3.99 (65 to 74),4.00 to 4.99 (65 to 74),5.00 and over (65 to 74),Total (75 and over),Under .50 (75 and over),.50 to .74 (75 and over),.75 to .99 (75 and over),1.00 to 1.24 (75 and over),1.25 to 1.49 (75 and over),1.50 to 1.74 (75 and over),1.75 to 1.84 (75 and over),1.85 to 1.99 (75 and over),2.00 to 2.99 (75 and over),3.00 to 3.99 (75 and over),4.00 to 4.99 (75 and over),5.00 and over (75 and over)
Coronado,South , 92155, 92155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronado,South ,00000,00000,3078,99,16,84,41,117,47,52,66,211,242,137,1966,2125,34,12,14,6,26,37,6,46,214,149,212,1369,2056,36,0,48,36,64,29,19,94,356,213,100,1061
Elliot-Navajo,North Central,92119,92119,3491,65,19,55,89,119,119,33,74,303,260,460,1895,2051,58,65,12,7,44,39,38,39,201,237,363,948,2632,89,21,158,157,90,102,79,93,420,289,467,667
Elliot-Navajo,North Central, 92120, 92120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliot-Navajo,North Central, 92124, 92124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliot-Navajo,North Central,00000,00000,3491,65,19,55,89,119,119,33,74,303,260,460,1895,2051,58,65,12,7,44,39,38,39,201,237,363,948,2632,89,21,158,157,90,102,79,93,420,289,467,667
Pauma,North Inland,92059,92059,102,12,0,4,0,9,3,5,8,11,8,3,39,138,1,2,6,4,4,0,0,0,15,2,90,14,21,0,0,0,3,0,0,0,0,0,2,2,14
Pauma,North Inland, 92061, 92061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pauma,North Inland,00000,00000,102,12,0,4,0,9,3,5,8,11,8,3,39,138,1,2,6,4,4,0,0,0,15,2,90,14,21,0,0,0,3,0,0,0,0,0,2,2,14
Ramona,North Inland,92065,92065,6327,422,64,176,226,101,27,26,96,913,523,536,3217,2440,30,32,33,115,74,61,12,53,410,311,134,1175,1909,70,67,138,32,21,91,24,37,441,355,221,412
Ramona,North Inland,00000,00000,6327,422,64,176,226,101,27,26,96,913,523,536,3217,2440,30,32,33,115,74,61,12,53,410,311,134,1175,1909,70,67,138,32,21,91,24,37,441,355,221,412
Jamul,East,91917,91917,92,0,0,27,0,0,0,0,0,0,18,26,21,119,0,0,36,0,11,0,0,51,0,0,7,14,67,4,5,37,0,0,0,17,0,0,0,0,4
