SRA,Region,Zipcode,ZCTA,NumRCFE,NumRCFEBeds,NumRCFEInALWP,2012Pop65Over,2012Pop55Over,2030Pop65Over,2030Pop55Over,2012PopADOD55Over,2030PopADOD55Over,2012PopLowIncome55Over,2012PopLowIncome65Over,2012PopMinority,2012ADODPerRCFE,2030ADODPerRCFE,2012PercentLowIncome65Over,2012PercentLowIncome55Over,2012LowIncome65OverPerRCFE,2012LowIncome55OverADODRatio,PopMinorityPerRCFE,PopMinorityADODRatio,2012MedianHHIncome,2012MedianHHIncome65Over
University,North Central, 92161, 92161,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
University,North Central,00000,00000,17,873.0,4,6446,10846,12832,18902,606,1064,86,58,31065,35.65,62.59,0.9,0.79,3.41,0.14,1827.35,51.26,96413,52625
Southeastern San Diego,Central,92113,92113,1,6.0,0,0,0,0,0,0,0,3768,2175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27500,21765
Southeastern San Diego,Central, 92114, 92114,56,214.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Southeastern San Diego,Central, 92139, 92139,20,107.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Southeastern San Diego,Central,00000,00000,77,327.0,1,0,0,0,0,0,0,3768,2175,137874,0.0,0.0,999.0,999.0,28.25,999.0,1790.57,999.0,27500,21765
Coronado,South ,92118,92118,2,120.0,0,0,0,0,0,0,0,519,260,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89277,79959
Coronado,South , 92135, 92135,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Coronado,South , 92155, 92155,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Coronado,South ,00000,00000,2,120.0,0,3540,5982,6394,8587,401,568,519,260,5540,200.5,284.0,7.34,8.68,130.0,1.29,2770.0,13.82,89277,79959
Elliot-Navajo,North Central,92119,92119,22,116.0,0,0,0,0,0,0,0,1496,957,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69747,47725
Elliot-Navajo,North Central, 92120, 92120,10,66.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Elliot-Navajo,North Central, 92124, 92124,4,24.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Elliot-Navajo,North Central,00000,00000,36,206.0,1,0,0,0,0,0,0,1496,957,0,0.0,0.0,999.0,999.0,26.58,999.0,0.0,999.0,69747,47725
Pauma,North Inland,92059,92059,0,0.0,0,0,0,0,0,0,0,72,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89333,51250
Pauma,North Inland, 92061, 92061,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Pauma,North Inland,00000,00000,0,0.0,0,840,1771,1513,2454,48,66,72,39,4790,999.0,999.0,4.64,4.07,999.0,1.5,999.0,99.79,89333,51250
Ramona,North Inland,92065,92065,6,65.0,0,0,0,0,0,0,0,1740,806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76293,51121
Ramona,North Inland,00000,00000,6,65.0,0,4304,9472,8432,14018,793,1074,1740,806,10020,132.17,179.0,18.73,18.37,134.33,2.19,1670.0,12.64,76293,51121
Jamul,East,91917,91917,0,0.0,0,0,0,0,0,0,0,57,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63566,79107
Jamul,East, 91935, 91935,2,12.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Jamul,East, 91978, 91978,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Jamul,East,00000,00000,2,12.0,0,2148,4777,6050,10292,212,533,57,57,8182,106.0,266.5,2.65,1.19,28.5,0.27,4091.0,38.59,63566,79107
Anza-Borrego Springs,North Inland,92004,92004,1,6.0,0,0,0,0,0,0,0,532,447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40561,26123
Anza-Borrego Springs,North Inland, 92036, 92036,1,6.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Anza-Borrego Springs,North Inland, 92259, 92259,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Anza-Borrego Springs,North Inland,00000,00000,2,12.0,0,1554,2385,2247,3044,88,113,532,447,2414,44.0,56.5,28.76,22.31,223.5,6.05,1207.0,27.43,40561,26123
Lakeside,East,92040,92040,14,112.0,1,0,0,0,0,0,0,2065,1354,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64561,36551
Lakeside,East,00000,00000,14,112.0,1,6774,14076,13648,21285,1044,1673,2065,1354,14115,74.57,119.5,19.99,14.67,96.71,1.98,1008.21,13.52,64561,36551
Sweetwater,South ,91902,91902,24,113.0,0,0,0,0,0,0,0,971,528,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86099,70509
Sweetwater,South , 91913, 91913,7,318.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Sweetwater,South , 91914, 91914,5,201.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Sweetwater,South , 91915, 91915,2,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Sweetwater,South ,00000,00000,38,636.0,0,12461,26231,31002,55381,827,1815,971,528,103418,21.76,47.76,4.24,3.7,13.89,1.17,2721.53,125.05,86099,70509
La Mesa,East,91941,91941,14,207.0,0,0,0,0,0,0,0,1493,865,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69715,51897
La Mesa,East, 91942, 91942,20,1214.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
La Mesa,East,00000,00000,34,1421.0,0,9043,16239,16534,23968,2282,3396,1493,865,20705,67.12,99.88,9.57,9.19,25.44,0.65,608.97,9.07,69715,51897
Fallbrook,North Inland,92003,92003,3,13.0,0,0,0,0,0,0,0,179,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78662,75000
Fallbrook,North Inland, 92028, 92028,21,342.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Fallbrook,North Inland, 92088, 92088,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Fallbrook,North Inland, 92592, 92592,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Fallbrook,North Inland,00000,00000,24,355.0,0,8759,15238,14607,21169,717,1049,179,73,20511,29.88,43.71,0.83,1.17,3.04,0.25,854.63,28.61,78662,75000
Coastal,North Central,92037,92037,25,994.0,0,0,0,0,0,0,0,1525,989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97483,85457
Coastal,North Central, 92093, 92109,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Coastal,North Central,00000,00000,25,994.0,0,12661,20508,24356,34457,1068,1834,1525,989,13120,42.72,73.36,7.81,7.44,39.56,1.43,524.8,12.28,97483,85457
San Marcos,North Inland,92069,92069,22,144.0,0,0,0,0,0,0,0,2440,1399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50471,36273
San Marcos,North Inland, 92078, 92078,12,632.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
San Marcos,North Inland,00000,00000,34,776.0,1,12137,21239,21801,32029,1207,1894,2440,1399,43799,35.5,55.71,11.53,11.49,41.15,2.02,1288.21,36.29,50471,36273
Chula Vista,South ,91910,91910,28,1666.0,1,0,0,0,0,0,0,4236,2610,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55875,40155
Chula Vista,South , 91911, 91911,19,145.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Chula Vista,South ,00000,00000,47,1811.0,1,14692,26362,23252,36011,2912,4131,4236,2610,92340,61.96,87.89,17.76,16.07,55.53,1.45,1964.68,31.71,55875,40155
Mountain Empire,East,91905,91905,0,0.0,0,0,0,0,0,0,0,127,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000,15556
Mountain Empire,East, 91906, 91906,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mountain Empire,East, 91934, 91934,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mountain Empire,East, 91962, 91962,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mountain Empire,East, 91963, 91963,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
